update_id,tx_type,effective_at,fetched_at,request_body_kb,response_body_kb,request_headers_kb,response_headers_kb,base_kb,extra_kb,total_kb
1220461c63e208839dc0dc92daf4174f4217f070e9fb87ab98bda40716bd07732476,marker,2026-05-07T17:09:05.233528Z,2026-05-08T01:27:32.238Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
12202330819000f49fee61936e32060236983c3158c6fa51ba7fd734bf96209699f8,marker,2026-05-07T17:14:07.884957Z,2026-05-08T01:27:32.877Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
122090361c2b05be57d3e0101da8634dabb461e3b21e294b520f54197c6b31b41701,marker,2026-05-07T17:19:10.817007Z,2026-05-08T01:27:33.495Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
12208e57bce08b230147ca108d5c1828e10d675cac8d0590940672148aaba008bae1,marker,2026-05-07T17:24:14.584117Z,2026-05-08T01:27:34.114Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220c0df02060c7785d609d9a97b8426e1d1242d19b04992f07ce60d13ea6176d701,marker,2026-05-07T17:29:17.869224Z,2026-05-08T01:27:34.736Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
12208864ebfbb5039138eb528d0eec3a29807be73eee7e918a5b25882c996795f327,marker,2026-05-07T17:34:20.687254Z,2026-05-08T01:27:35.360Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220c7e73175e9cef0ddb9a3a955066ffe0b454de2d4d7101f4da07c0b4564f4e451,marker,2026-05-07T17:39:23.324355Z,2026-05-08T01:27:35.977Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220f2d1933f534ba45685f62f33034d751acd34d3f5e8b90139b6b9998d07650a2a,marker,2026-05-07T17:44:23.350081Z,2026-05-08T01:27:36.621Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220952e397c281c22fd7af2333bd8e26c7fea356c8265ef967a00ba1651a04d66df,marker,2026-05-07T17:49:27.117298Z,2026-05-08T01:27:36.981Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
12204401dfe5daedd0125f19b19a6ec329fbe24ce5b2e002453a41eea44ee738ade2,marker,2026-05-07T17:54:29.952228Z,2026-05-08T01:27:37.317Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
12200523e15b528cbf1dae062bef50736e30d5de1a44a2a8ab31ac148d2f6d87f97e,marker,2026-05-07T17:59:29.918143Z,2026-05-08T01:27:37.653Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
12203be46dec3799d05a7c38431d120a4cd819bf055f32384089d14fb35185c922bd,marker,2026-05-07T18:04:32.756317Z,2026-05-08T01:27:37.989Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220cf37ed6e74b79f30c2c6515f5d0d95e075cb834ce91ed10f5ce9c516d2cc99c0,marker,2026-05-07T18:09:35.809171Z,2026-05-08T01:27:38.299Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
122011705f579a10707407fb0fb955d4a3f2d0e12a9be4701698e8dbe44fb937fd40,marker,2026-05-07T18:14:38.453762Z,2026-05-08T01:27:38.634Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
12201975c30bcdce2b1f70a801dc3106d29e02f7b16040d7ddafd06ada8fc7e10e96,marker,2026-05-07T18:19:40.738733Z,2026-05-08T01:27:38.993Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220ef0f22c9a8336d81823aa08d733b4d2ea3d9d2e190669af9f8a62dccabf6c7b3,marker,2026-05-07T18:24:42.910112Z,2026-05-08T01:27:39.327Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
12201e5cd2da9acbb384598914c75924c7e1ec90bcdb3f0592b1935d952e9ffbf201,marker,2026-05-07T18:29:43.158811Z,2026-05-08T01:27:39.642Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
122089baa62c022778b8db1d51accc064144eb20dd8b550ee82a62a82b8bfc8487bf,marker,2026-05-07T18:34:46.048458Z,2026-05-08T01:27:39.976Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
122047ecf25e60533a0c3a1a8e6b61bb1508ee1ee3fca27a5ddcbbb11186c15794bd,marker,2026-05-07T18:39:48.647207Z,2026-05-08T01:27:40.287Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
12205aa298ed6edd7e9ebb7a14a7a6bcfea24a6a1aa7b2af9c14be7334b7bf0c8987,marker,2026-05-07T18:44:51.701116Z,2026-05-08T01:27:40.627Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220454955b0625dc35ffc9e49a12c9ac5853a0c1c259f842545bbdb47609b1e1f9c,marker,2026-05-07T18:49:51.507811Z,2026-05-08T01:27:40.985Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
1220c9542d197953aea8e5efa21bf4c2a2a0f532e8e490543dcfd3c4054e442a7fd4,marker,2026-05-07T18:54:54.209060Z,2026-05-08T01:27:41.314Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
122066219fa4a6387ba009926f7422195be884d790b5d2d74d465c32eb068a6284a5,marker,2026-05-07T18:59:56.707938Z,2026-05-08T01:27:41.649Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
1220a9f1b647497a3c567aa52449fd1c2dc525e793687c5723f9791e01e0d29c0c33,marker,2026-05-07T19:04:59.125687Z,2026-05-08T01:27:42.010Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
12207bf55d33f092c85cc20455359f2b74e35bf6645a6c179b39f427975eadfabe95,marker,2026-05-07T19:10:02.291254Z,2026-05-08T01:27:42.324Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
12200ba3e3394808d70d1fce19ae4357a6b5027f0369fb8b928f241898a7baea1a6e,marker,2026-05-07T19:15:05.075584Z,2026-05-08T01:27:42.656Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
122071157bceeec094802893cd71ca566e6dd587949aafa1c304458cab79abef07b4,marker,2026-05-07T19:20:07.412758Z,2026-05-08T01:27:42.968Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
12205fc87ef2c68d691c684cc6f0319e41ba9ef669439661b74db330d23993e938a3,marker,2026-05-07T19:25:07.430582Z,2026-05-08T01:27:43.312Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220fffca3089de2ac658c3974c0d808d0184db75e61a8f784e73447b8b154567fcb,marker,2026-05-07T19:30:10.149168Z,2026-05-08T01:27:43.623Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
12204c46e2fd332935492fec02d5d9ef037acb3fb02e31333e469c7bcb6a0a59f8cf,marker,2026-05-07T19:35:13.279653Z,2026-05-08T01:27:43.956Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
122023d0e368b986bd74ec45057b8a1b1fad2b1420697af2af8ad9ed5dd1f3edc837,marker,2026-05-07T19:40:17.253406Z,2026-05-08T01:27:44.316Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
1220382e8903625dacb6e2a0e64288c50b24a093214096c5d60bd16337be144abaf6,marker,2026-05-07T19:45:19.753379Z,2026-05-08T01:27:44.635Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
12201af8f95fb420ee6e06702dd9290a37f823409e38c382804296069b4230ad6b22,marker,2026-05-07T19:50:19.777510Z,2026-05-08T01:27:44.955Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
1220f2df893ba4bad1167fb29f370e45e84df0671e76e6e01255e206c2cf09b4dea0,marker,2026-05-07T19:55:22.949550Z,2026-05-08T01:27:45.294Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220089165ae4b7dcfb84d282bb19347a0a2a6d212558e516903abe3e10246a6dc7f,marker,2026-05-07T20:00:26.359349Z,2026-05-08T01:27:45.730Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220ea85033cc082c3ad75d1e116e1531f61f8d193c9648292d72d221ca6392cfe24,marker,2026-05-07T20:05:29.148981Z,2026-05-08T01:27:46.124Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220ce46fa65ccd881bcbbc1a6e3ddd4dc5b42ac873fa7db335c17b0db699ad1b755,marker,2026-05-07T20:10:29.364031Z,2026-05-08T01:27:46.530Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
